title,short_content,content,types
Ex-doctor goes on trial in France over Rwanda genocide,"    Sosthene Munyemana, 68, is accused of organizing torture and killings during the genocide of Tutsis in Rwanda. He has lived in France since 1994. ","A Rwandan former gynecologist went on trial in France on Tuesday, November 14, on charges of committing genocide and crimes against humanity during the 1994 massacres in Rwanda, in an investigation stretching back nearly three decades. It is one of France's longest-running cases.Sixty-eight-year-old Sosthene Munyemana appeared before the criminal court in the French capital nearly 30 years after a complaint was filed against him in the southwestern French city of Bordeaux in 1995. The former gynecologist, accused of organizing torture and killings during the genocide of Tutsis in Rwanda, arrived late for the hearing. Wearing a blue striped shirt and a grey jacket, Munyemana apologized for the delay, before stating his identity. He has lived in France since 1994.Munyemana, who denies the charges, faces life in prison if convicted. The trial, scheduled to last five weeks, will be recorded for historical archives. Nearly 70 witnesses are expected to testify. It is the sixth such trial in France of an alleged participant in the massacres, in which around 800,000 people, most of them ethnic Tutsis, were slaughtered over 100 days.""We're waiting for justice to be done at last,"" Rachel Lindon, a lawyer representing 26 victims, said ahead of the trial. ""The more time passes, the fewer witnesses we have,"" she added.In 2008, France rejected an asylum request by Munyemana, who worked in a hospital at Villeneuve-sur-Lot in southwest France for a decade. But it also in 2010 rejected an extradition request from Rwanda after Munyemana's lawyers argued he could not receive a fair trial there. In 2011, a French court charged the father of three on suspicion he took part in the 1994 genocide.An ethnic Hutu, he lived in Butare in southern Rwanda at the time of the massacre. France has been one of the top destinations for fugitives fleeing justice over the Rwandan slaughter. Rwanda under President Paul Kagame has accused Paris of not being willing to extradite genocide suspects or bring them to justice. Since 2014, France has tried and convicted several figures including a former spy chief, two ex-mayors and a former hotel chauffeur.""He was a doctor, a well-known man who was much appreciated,"" said Emmanuel Daoud, a lawyer for the two rights organizations, the International Federation of Human Rights (FIDH) and the Human Rights League (LDH). ""He could not have been unaware of what was happening,"" he added.Munyemana was close to Jean Kambanda, the head of the interim government established after the plane carrying then-president Juvenal Habyarimana was shot down by a missile in 1994. He is accused of signing a letter of support for the interim government, which encouraged the massacre of the Tutsis. He is also accused of keeping Tutsi civilians in inhumane conditions in local government offices to which he had the key.Munyemana does not deny having held the key but argues that the offices served as a ""refuge"" for Tutsis who were seeking protection. Munyemana's lawyer, Jean-Yves Dupeux, argued that the case ""rests only"" on eyewitness accounts that date back to decades ago. ""It's very difficult to rely on testimonies about something that happened so long ago,"" he said.Munyemana worked as an emergency doctor in southwestern France before switching to geriatrics. More than 800,000 people, mainly minority Tutsis, were massacred by Hutu soldiers and extremist militias in the Rwandan genocide from April to July 1994, according to UN figures.",/en/global-issues/
"Being gay and Catholic, a difficult journey 'between two worlds'",    Some Catholics experience an ongoing internal conflict between their faith and their identity as a member of the LGBTQ+ community. This issue has become central to the deliberations of the synod taking place in Rome. ,"Antoine knew his identity early on and has never doubted it since. The 39-year-old was 10 when he realized he was attracted to men. Since then, explained the devout Catholic, ""everything gets stuck when you don't want to lie.""""Imagine being a young, practicing Catholic and having the feeling that hell is all around you, ready to swallow you up if you decide to make the slightest faux pas, like kissing another boy,"" said Antoine, who still keeps his sexual orientation a secret from some people, notably in his parish, requesting anonymity like most of those who agreed to share their stories.Trying to suppress his desires and reconcile them with his faith, Antoine decided to become a priest. ""It also helps to explain to others why, as a teenager, you don't like football, why you don't get into fights, why you don't have a girlfriend,"" he said with a smile. But a document published by the Vatican in 2005, banning the ordination of homosexual priests, halted his plans. He then chose to enter a monastery, a place where, he thought, chastity would be easier and temptations less prevalent. He stayed there from the time he was 22 until he was 36 and only started to embrace his love life after leaving.Like Antoine, many French people are struggling to reconcile their Catholic faith with their identity as a member of the LGBTQ+ community. Although many parishes and clergy are striving to be more inclusive and sensitive to this issue, homosexuality is still considered problematic within the Church.Less conservative than his predecessors Benedict XVI and John Paul II, Pope Francis has repeatedly expressed his desire to create a more inclusive Church. Currently, the issue has surfaced at his Synod on Synodality, an important meeting on the future of the institution, being held from October 4 to 29 in Rome. The working documents of this major assembly raise questions about ""concrete"" measures to ""reach out to people who feel excluded from the Church because of their affectivity and sexuality"" (for example, remarried divorcees, people living in polygamous marriages, LGBTQ+ people, etc.).More specifically, it concerns the question of the blessing of homosexual couples, a request made by many believers but opposed by the most conservative elements of the Church, believing that it effectively amounts to the institution recognizing a lifestyle deemed ""disordered.""In Catholic teaching, being attracted to a person of the same sex is not a sin in itself, but sexual acts, practices or married life are considered sins. Thus, a fulfilling life, faithful to one's orientation, seems to be a challenge for believers because it opposes the Church's point of view. ""Suppression of feelings and desires,"" ""inner and moral suffering,"" ""loss of confidence and self-esteem,"" ""guilt and anxiety"": Many LGBTQ+ people feel excluded, with no real place within an institution where sexual morality essentially revolves around a heterosexual couple dedicated to procreation. ""French Catholicism is fairly conservative on these issues, compared to Germany and Belgium, despite the recent changes in the Church's perspective on the issue, particularly after the legalization of same-sex marriage. The clergy are having real difficulty speaking out on these subjects,"" explained Céline Béraud, sociologist at the Ecole des Hautes Etudes en Sciences Sociales.",/en/global-issues/
At least 14 French airports receive bomb threats,"    After a number of major French airports were evacuated on Wednesday, many more were the targets of bomb threats on Thursday, leading to at least eight being temporarily evacuated. ","At least 14 French airports received bomb threats on Thursday, October 19, with at least eight evacuated, in the latest series of false alarms that have rattled the country over the past week.Most of France's major airports – with the exception of its two biggest in Paris – were temporarily evacuated on Wednesday, leading to at least 130 flight cancellations.On Thursday, the evacuations were focused on small airports such as Brest, Carcassonne, Bordeaux and Montpellier.Aviation authority DGAC confirmed the bomb threats without giving a precise number, while several airports put out social media messages about the evacuations and checks by security forces.France, which has large Jewish and Muslim populations, has been on high alert since Hamas's assault on Israel and since a teacher was killed last week by an attacker who had sworn allegiance to the Islamic State extremist group.""It's a serious nuisance, but we take zero risks,"" said a spokesperson for Bordeaux-Merignac Airport, which had already seen a three-hour evacuation on Wednesday that led to a dozen flights being canceled.Transport Minister Clement Beaune wrote on X (formerly Twitter) on Wednesday that ""planned false alerts are dangerous and unacceptable,"" adding that offenders risk two years in prison and a €30,000 fine.The Louvre Museum and Palace of Versailles have also received threats in recent days, leading to temporary closures.",/en/global-issues/
India's Supreme Court declines to legalize same-sex marriage,"    The judges felt they had no authority to rule on the matter, leaving it to Parliament to legislate. Prime Minister Narendra Modi is hostile to such legislation, which he believes would threaten 'the values accepted by society.' ","Same-sex marriage will not be allowed in India. On Tuesday, October 17, the Indian Supreme Court rejected the applications of 21 petitioners, including same-sex couples, trans people and associations. The judges considered that they were not empowered to make such a decision and referred this responsibility to Parliament, as the government had wanted.The hopes of the LGBT+ community were high, as India's highest court had issued a landmark ruling in 2018 decriminalizing homosexuality. The only notable progress concerned marriage for couples where one of the members is transgender. The Supreme Court considered that there is no obstacle to transsexual people entering into marriage, provided they are identified as a ""man"" and a ""woman"" respectively.It is unlikely that Modi's government will be tempted to legislate, as the judges are urging. During hearings in April and May, the prime minister's representative had expressed his hostility to same-sex marriage in the name of the unity of the family, arguing that this consisted of a husband, a wife and children. ""Any interference in this area (...) would completely upset the delicate balance of laws relating to the individual in the country and the values accepted by society,"" he claimed.""I doubt that the BJP [ Modi's Bharatiya Janata Party] would even want the issue to be debated in Parliament, let alone passed into law,"" commented Shashi Tharoor, an MP for Congress, the main opposition party, speaking after the decision.However, the debates before the high court had been of high quality in a rather calm atmosphere, very different from the demonstrations that had accompanied the adoption of the same-sex marriage law in France.The five judges who reviewed the applications were divided. They each read out their position before announcing a joint decision. While the petitioners demanded that LGBT+ couples be granted the same rights as heterosexual families in terms of adoption, insurance and inheritance, on the basis of the principle of equality of citizens, Chief Justice Dhananjaya Yeshwant Chandrachud argued that there is no fundamental right to marriage. However, he insisted on the country's duty to grant some form of recognition to same-sex relationships, and to protect them against all forms of discrimination. ""I didn't expect the judgment to be very good, but it's much worse than I expected,"" said Uday Raj Anand, one of the petitioners.Despite the decriminalization of homosexuality in India, the lives of couples remain exposed to family and social violence. With the recognition of marriage, petitioners and militant associations hoped to strengthen their protection.",/en/global-issues/
Mexico: Three separate armed attacks leave 24 dead,"    In an 'extraordinary' outbreak of pre-electoral violence, the attacks in western and central Mexico targeted a security patrol, the brother of a mayor, and rival drug dealers. ","Three separate armed attacks in Mexico on Monday left at least 24 people dead, including a dozen police officers, authorities said about the latest violence to hit regions plagued by drug trafficking.In the deadliest incident, unidentified attackers targeted a security patrol in Guerrero state's municipality of Coyuca de Benitez, prosecutor Alejandro Hernandez said. At least 13 people were killed and two others wounded in that attack, the state prosecutor's office said in a statement, with Hernandez earlier having confirmed that at least 11 of those killed were members of the municipal police force.A senior state security official was traveling in the convoy when it was attacked, authorities said, without confirming media reports that he was murdered along with police bodyguards. Security forces were later seen patrolling the area – where several lifeless bodies lay on the ground – as a police helicopter flew overhead.Another attack, in the neighboring western state of Michoacan, left five people dead and two more injured, authorities said. A group of gunmen attacked the brother of the mayor of the town of Tacambaro, according to the state prosecutor's office. A restaurant worker and a member of the police force were among those killed, while the mayor's brother was wounded, it said. In a video posted on social media, gunmen were seen opening fire before fleeing in several vehicles.A third attack on Monday, a gunfight between alleged drug dealers in the central Mexican state of Puebla, left at least six dead and two wounded, the regional government reported. The incident took place in the rural community of San Miguel Canoa, about 120 kilometers from Mexico City.Mexico is plagued by cartel-related bloodshed that has seen more than 420,000 people murdered since the government deployed the military in its war on drugs in 2006. Since then, the country's murder rate has tripled to 25 per 100,000 inhabitants. Mexico has also registered more than 110,000 disappearances since 1962, most attributed to criminal organizations.Guerrero and Michoacan are among the country's most violent areas, due to confrontations between rival drug traffickers and security forces. Although it is home to the famed coastal resort of Acapulco, Guerrero is one of Mexico's poorest states.Violence – particularly targeting low-level officials – often escalates across the country in the run-up to elections. Presidential and parliamentary polls are set to be held next year.Even so, experts said the latest wave of violence was particularly shocking. ""Guerrero has long seen one of Mexico's most complicated armed conflicts, but the current, pre-electoral levels of violence are extraordinary,"" Falko Ernst, an analyst at International Crisis Group, wrote on the social media platform X, formerly Twitter.Since taking office in 2018, President Andres Manuel Lopez Obrador has championed a ""hugs not bullets"" strategy to tackle violent crime at its roots by fighting poverty and inequality with social programs, rather than with the army.",/en/global-issues/
EU awards major Freedom of Thought prize to Mahsa Amini,"    22-year-old Mahsa Amini, the Iranian Kurdish woman whose death in Iranian custody a year ago triggered mass protests in Iran, and also a global movement known as 'Woman, Life, Freedom', received the Sakharov Prize for Freedom of Thought. ","The European Union on Thursday, October 19, awarded its top human rights honor, the Sakharov Prize for Freedom of Thought, to Mahsa Amini, the Iranian Kurdish woman who died in Iranian custody a year ago, and the ""Woman, Life, Freedom"" movement her death triggered.""The brutal murder of 22-year-old Jina Mahsa Amini marked a turning point. It has triggered a women-led movement that is making history,"" European Parliament speaker Roberta Metsola said, using Amini's Kurdish first name as she announced the award. Metsola said the movement's three-word slogan was ""a rallying cry for all those standing up for equality, for dignity, and for freedom in Iran"". The EU prize announcement comes two weeks after the Nobel Peace Prize was awarded to an imprisoned Iranian rights campaigner, Narges Mohammadi.Amini died at age 22 on September 16, 2022, while being held by Iran's religious police for allegedly breaching the Islamic Republic's strict dress code for women. Her family and supporters say she was killed. Iranian authorities claim she died in custody from a previously undisclosed medical condition.Her death triggered mass protests in Iran. It also generated a global movement known as ""Woman, Life, Freedom"", calling for the end of Iran's imposition of a headscarf on all women and an end to the Muslim cleric-led government in Tehran.Iranian security forces have cracked down on the protests domestically, killing hundreds, and have executed dozens for allegedly participating in what officials have called ""riots"". This week, they jailed Amini's lawyer, Saleh Nikbakht, for one year for ""propaganda"" after he spoke to the media about her case.Many Iranian women continue to defy the government's clothing edict by taking off their headscarves in public. The ""Woman, Life, Freedom"" campaign continues in cities around the world, with frequent demonstrations in which Amini's photo is held aloft.Mohammadi's Nobel Peace Prize was in recognition of her fight against the mandatory headscarf in Iran and against the oppression of women in the country. Together, the two prizes focus attention on Iranian authorities' punishment of women who defy the headscarf order, seen by both sides as defiance of the Islamic Republic's system of governance itself.Amini and the ""Woman, Life, Freedom"" movement were backed by the European Parliament's three main political groups, making them the frontrunner well before the Sakharov Prize winner was announced.The two other nominations on the shortlist, backed by smaller groups, were Nicaraguan rights defenders, Vilma Nunez de Escorcia and Bishop Rolando Jose Alvarez Lagos; and three women campaigning for abortion rights, Justyna Wydrzynska from Poland, Morena Herrera from Salvador and Colleen McNicholas from the United States. Billionaire Elon Musk had been put forward in an initial round by a far-right grouping in the parliament but failed to make the cut for the shortlist.The Sakharov Prize, which comes with a €50,000 ($53,000) endowment, will be handed over in a European Parliament ceremony on December 13.",/en/global-issues/
"Spanish Catholic clergy sexually abused more than 200,000 children, report estimates","    Presenting the findings, Spain's national ombudsman criticized the church's response to abuse and recommended the establishment of a reparation fund. ","Over 200,000 minors are estimated to have been sexually abused in Spain by the Roman Catholic clergy since 1940, according to an independent commission published on Friday, October 27.The report did not give a specific figure but said a poll of over 8,000 people found that 0.6% of Spain's adult population of around 39 million people said they had suffered sexual abuse by members of the clergy when they were still children.The percentage rises to 1.13% – or over 400,000 people – when including abuse by lay members, Spain's national ombudsman Ángel Gabilondo told a news conference called to present the findings of the report which has over 700 pages.The revelations in Spain are the latest to rock the Roman Catholic Church after a series of sexual abuse scandals around the world, often involving children, over the past 20 years.The commission also interviewed 487 victims, who stressed ""the emotional problems"" the abuse has caused them, Gabilondo said. ""There are people who have (died by) suicide... people who have never put their lives back together,"" the former Socialist education minister said.Teresa Conde, a philosophy teacher who was abused for years by a friar starting at the age of 14 when she attended a religious school in the northwestern city of Salamanca in the early 1980, said she is ""never going to be a normal person."" ""I'm never going to stop doing therapy or taking medicine,"" the 57-year-old told Agence France-Presse (AFP).Unlike in other nations, in Spain – a traditionally Catholic country that has become highly secular – clerical abuse allegations only recently started to gain traction, leading to accusations by survivors of stonewalling.The report is critical of the response of the Catholic Church, saying ""it has long been characterized by denial and attempts to downplay the issue."" It recommended the creation of a state fund to pay reparations to victims.""Unfortunately, for many years there has been a certain desire to deny abuses or a desire to conceal or protect the abusers,"" said Gabilondo.Spain's parliament in March 2022 overwhelmingly approved the creation of an independent commission led by the country's ombudsman to look into clerical abuse.The country's Catholic Church, which for years flatly refused to carry out its own probe, declined to take part in the probe, although it did cooperate by providing documents on cases of sexual abuse that had been collected by dioceses.But as political pressure mounted, it tasked a private law firm in February 2022 with an ""audit"" into past and present sexual abuse by clergy, teachers and others associated with the Church, which should be completed by the end of the year.The Spanish church has also set up protocols for dealing with sexual abuse and has set up ""child protection"" offices within dioceses.Contacted by AFP, the Spanish bishops' conference said it would react to the commission's report on Monday at an extraordinary meeting.Spanish Prime Minister Pedro Sanchez said the release of the report was a ""milestone"" in the country's democratic history. ""Today we are a slightly better country, because a reality that everyone was for years aware of but no one talked about, has been made known,"" the Socialist premier told reporters in Brussels.Juan Cuatrecasas, a founding member of the ""Infancia Robada"" (Stolen Childhood) victims' association and the father of a youth who was abused by a teacher at a Catholic school in Bilbao, said lawmakers now must ensure repairs are made. ""This must be the start of something, not an end in itself,"" he told AFP.The Roman Catholic Church's abuse crisis exploded onto the international stage in 2002 when the Boston Globe newspaper revealed priests had sexually abused children for decades and church leaders had covered it up.Patterns of widespread abuse of children were later reported across the United States and Europe, in Chile and Australia, undercutting the moral authority of the 1.3 billion-member Church and taking a toll on its membership.An independent commission in France for example concluded in 2021 that some 216,000 children – mostly boys – had been sexually abused by clergy since 1950.",/en/global-issues/
Putin revokes Russia's ratification of nuclear test ban treaty,"    The Russian president signed a law withdrawing Russia's ratification of the Comprehensive Nuclear-Test-Ban Treaty, which has never come into force as China, the US and 6 others never ratified it. ","Russian President Vladimir Putin on Thursday signed a law revoking Russia's ratification of the Comprehensive Nuclear Test Ban Treaty. The 1996 treaty outlaws all nuclear explosions, including live tests of nuclear weapons, though it never came into force because some key countries – including the United States and China – never ratified it.The West has accused Russia of using reckless nuclear rhetoric since it launched its offensive on Ukraine last February. Putin last week oversaw ballistic missile drills in what Defence Minister Sergei Shoigu said was practice for a ""massive"" retaliatory nuclear strike against an unnamed enemy. Putin also said last month he was ""not ready to say"" whether Russia would carry out live nuclear tests.The Comprehensive Nuclear-Test-Ban Treaty Organization (CTBTO) has urged Russia to continue its commitment to the treaty, including the operation on its territory of monitoring stations capable of detecting the slightest explosion in real-time. ""Today's decision by the Russian Federation to revoke its ratification of the Comprehensive Nuclear-Test-Ban Treaty is very disappointing and deeply regrettable,"" CTBTO head Robert Floyd said on X, formerly known as Twitter.The bill to revoke the treaty passed through Russia's parliament last month in a fast-track process. During parliamentary hearings, State Duma speaker Vyacheslav Volodin said the move to revoke the treaty was a response to the United States' ""cynicism"" and ""boorish attitudes"" on nuclear weapons.Although it never entered into force, the agreement was ratified by 178 countries, including nuclear powers France and Britain, and has symbolic value. Its backers say it established an international norm against live tests of nuclear weapons, but critics say the potential of the deal remains unrealized without the ratification of major nuclear powers. Russia's parliament ratified the agreement in June 2000, six months after Putin first became president.",/en/global-issues/
Iran sentences woman to death for adultery,"    Iran faces global scrutiny for its frequent use of the death penalty. UN Secretary-General Antonio Guterres on Wednesday said that Iran has executed 419 individuals in the first seven months of this year, marking a 30% increase from the previous year. ","An Iranian court has sentenced a woman to death for adultery, state media said. A report by the IRAN newspaper on Wednesday, November 1, said the woman worked as a trainer in a gym for females. It said her husband contacted police in 2022 when he found her with another man at their home. The husband discovered from surveillance cameras that she was having relations with other men, the report added. Under Iranian law, she can appeal the sentence.Iranian courts sometimes sentence people to death by stoning for adultery, which can be reduced to lighter punishments upon appeal. Iran is under international pressure for its extensive use of the death penalty. On Wednesday, UN Secretary-General Antonio Guterres said Iran was executing people at ""an alarming rate."" He said at least 419 people received capital punishment in the first seven months of this year, an increase of 30% from the same period last year.In 2017, a court sentenced a woman to death for adultery but there has been no report of her execution since then. Crimes punishable by the death penalty in Iran include adultery, sodomy, murder, rape, armed robbery, kidnapping and drug trafficking. In 2022, Iran executed two gay men who were convicted of sodomy.",/en/global-issues/
Women sent back to the locker rooms at the Parliamentary Rugby World Cup,"    During this competition, held in France from August 31 to September 7, English and South African players refused to play against mixed teams. This attitude dampened the atmosphere at an event that was as much about sport as it was about diplomacy. ","While the eyes of the world are on the Rugby World Cup in France, another, more private competition recently played out on the rugby pitches. From August 31 to September 7, the Parliamentary Rugby World Cup was held in Toulouse, Sarlat (Dordogne) and Paris.Eight teams (South Africa, Argentina, Australia, New Zealand, Ireland, the United Kingdom, the European Parliament and France) came together for this tournament, originally created in 1995 and first played in South Africa under the leadership of Nelson Mandela. Here, the players are not professionals, but parliamentarians, former parliamentarians, or parliamentary staff or agents.Most of the squads have been mixed since the last round, held in Japan in 2019, and three women are part of the French team, the ""XV Parlementaire."" ""We're happy to play with our male colleagues; they're warriors on the pitch, but real gentlemen off it; it's the esprit de corps and cooperation that brings us together in this rugby team, not that of competition,"" explained Véronique Riotton, Renaissance MP.Unfortunately, at this year's event, the positive atmosphere resulting from these humanist and sporting values was dampened. The delegations from the UK and South Africa made it known several weeks before the tournament kicked off that they refused to play against mixed teams.The President of the XV Parlementaire team, Jean-François Portarrieu, was circumspect in his response. For the Horizons MP, who has played rugby since childhood, the British and South African teams were hiding behind an administrative reason to impose a conservative conception of the sport.The South African team, followed by the English team, put forward rugby federations' ban on insuring players in plexus tackle matches if women are involved. They are only allowed to take part in so-called recreational rugby matches, where tackling is done at the waist. ""Their arguments are valid, but they have refused on principle to change the rules. Our vision of parliamentary rugby is inclusive, whereas theirs is about winning,"" said Portarrieu.Vice-president of the XV Parlementaire and Renaissance MP, Annaïg Le Meur spoke out before the match between the French team and the South Africans. ""Véronique Riotton and I wanted to express our discontent and our vision of sport, and defend all the women in the competition. The refusal of the South Africans and the English cast a pall over the whole event, which is as much a sporting event as a diplomatic one,"" said the official, who is also the team's physiotherapist. ""They hijacked the game. Our aim is not to win, but to share a time with other rugby-loving nations.""",/en/m-le-mag/
